Room1,13-09-2019,08:56:50,0
Room1,13-09-2019,08:57:25,0
Room1,13-09-2019,08:58:00,0
Room1,13-09-2019,08:58:35,0
Room1,13-09-2019,08:59:10,0
Room1,13-09-2019,08:59:45,1
Room1,13-09-2019,09:00:20,1
Room1,13-09-2019,09:00:55,0
Room1,13-09-2019,09:01:30,0
Room1,13-09-2019,09:02:05,1
Room1,13-09-2019,09:02:40,0
Room1,13-09-2019,09:03:15,0
Room1,13-09-2019,09:03:50,0
Room1,13-09-2019,09:04:26,0
Room1,13-09-2019,09:05:01,1
Room1,13-09-2019,09:05:36,0
Room1,13-09-2019,09:06:11,1
Room1,13-09-2019,09:06:46,0
Room1,13-09-2019,09:07:21,0
Room1,13-09-2019,09:07:57,1
Room1,13-09-2019,09:08:32,0
Room1,13-09-2019,09:09:07,0
Room1,13-09-2019,09:09:42,1
Room1,13-09-2019,09:10:17,0
Room1,13-09-2019,09:10:52,0
Room1,13-09-2019,09:11:27,0
Room1,13-09-2019,09:12:02,1
Room1,13-09-2019,09:12:38,0
Room1,13-09-2019,09:13:13,1
Room1,13-09-2019,09:13:48,0
Room1,13-09-2019,09:14:23,0
Room1,13-09-2019,09:14:58,1
Room1,13-09-2019,09:29:10,0
Room1,13-09-2019,09:29:45,0
Room1,13-09-2019,09:30:20,1
Room1,13-09-2019,09:30:55,0
Room1,13-09-2019,09:31:30,0
Room1,13-09-2019,09:32:04,1
Room1,13-09-2019,09:32:39,0
Room1,13-09-2019,09:33:14,0
Room1,13-09-2019,09:33:49,0
Room1,13-09-2019,09:34:24,1
Room1,13-09-2019,09:34:58,1
Room1,13-09-2019,09:35:33,0
Room1,13-09-2019,09:36:08,0
Room1,13-09-2019,09:36:43,0
Room1,13-09-2019,09:37:18,0
Room1,13-09-2019,09:37:52,1
Room1,13-09-2019,09:38:27,0
Room1,13-09-2019,09:39:02,1
Room1,13-09-2019,09:39:37,0
Room1,13-09-2019,09:40:11,1
Room1,13-09-2019,09:40:46,0
Room1,13-09-2019,09:41:21,0
Room1,13-09-2019,09:41:55,0
Room1,13-09-2019,09:42:30,1
Room1,13-09-2019,09:43:05,0
Room1,13-09-2019,09:43:39,0
Room1,13-09-2019,09:44:14,0
Room1,13-09-2019,09:44:49,0
Room1,13-09-2019,09:45:24,1
Room1,13-09-2019,09:45:58,0
Room1,13-09-2019,09:46:33,0
Room1,13-09-2019,09:47:08,0
Room1,13-09-2019,09:47:42,0
Room1,13-09-2019,09:48:17,1
Room1,13-09-2019,09:48:52,0
Room1,13-09-2019,09:49:26,1
Room1,13-09-2019,09:50:01,0
Room1,13-09-2019,09:50:54,1
Room1,13-09-2019,09:51:29,1
Room1,13-09-2019,09:52:04,0
Room1,13-09-2019,09:52:39,0
Room1,13-09-2019,09:53:14,0
Room1,13-09-2019,09:53:48,1
Room1,13-09-2019,09:54:23,1
